Date,Time,CAGE_1,CAGE_2,CAGE_3,CAGE_4,CAGE_5,CAGE_6,CAGE_7,CAGE_8,CAGE_9,CAGE_10,CAGE_11,CAGE_12,Room
04/29/2022,13:15:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:16:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:17:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:18:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:19:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:20:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:21:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:22:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:23:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:24:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,13:25:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
